school,school_setting,school_type,classroom,teaching_method,n_student,student_id,gender,lunch,pretest,posttest,school_encoded,school_setting_encoded,school_type_encoded,classroom_encoded,teaching_method_encoded,student_id_encoded,gender_encoded,lunch_encoded
ANKYI,Urban,Non-public,6OL,Standard,20.0,2FHT3,Female,Does not qualify,62.0,72.0,0,2,0,22,1,144,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,3JIVH,Female,Does not qualify,66.0,79.0,0,2,0,22,1,198,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,3XOWE,Male,Does not qualify,64.0,76.0,0,2,0,22,1,217,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,556O0,Female,Does not qualify,61.0,77.0,0,2,0,22,1,285,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,74LOE,Male,Does not qualify,64.0,76.0,0,2,0,22,1,395,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,7YZO8,Female,Does not qualify,66.0,74.0,0,2,0,22,1,439,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,9KMZD,Male,Does not qualify,63.0,75.0,0,2,0,22,1,522,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,CS5QP,Male,Does not qualify,64.0,77.0,0,2,0,22,1,717,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,D6HT8,Female,Does not qualify,61.0,72.0,0,2,0,22,1,736,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,DZMKU,Male,Does not qualify,61.0,73.0,0,2,0,22,1,778,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,FH7B9,Male,Does not qualify,64.0,74.0,0,2,0,22,1,854,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,JI9VG,Male,Does not qualify,66.0,78.0,0,2,0,22,1,1084,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,JQM2W,Female,Does not qualify,60.0,71.0,0,2,0,22,1,1102,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,MEUC4,Female,Does not qualify,64.0,77.0,0,2,0,22,1,1242,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,R4U8H,Male,Does not qualify,64.0,73.0,0,2,0,22,1,1511,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,U1FV7,Male,Does not qualify,67.0,73.0,0,2,0,22,1,1683,1,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,WC5I6,Female,Does not qualify,63.0,71.0,0,2,0,22,1,1804,0,0
ANKYI,Urban,Non-public,6OL,Standard,20.0,ZBQ4T,Male,Does not qualify,64.0,73.0,0,2,0,22,1,1952,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,0CRO6,Male,Does not qualify,60.0,68.0,0,2,0,96,1,18,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,1QMDI,Male,Does not qualify,60.0,70.0,0,2,0,96,1,110,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,3CFUK,Male,Does not qualify,57.0,66.0,0,2,0,96,1,191,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,447O0,Male,Does not qualify,57.0,70.0,0,2,0,96,1,229,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,4IDEM,Female,Qualifies for reduced/free lunch,56.0,65.0,0,2,0,96,1,246,0,1
ANKYI,Urban,Non-public,ZNS,Standard,21.0,5UQNP,Male,Does not qualify,58.0,67.0,0,2,0,96,1,325,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,AV95M,Female,Does not qualify,60.0,70.0,0,2,0,96,1,585,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,BX6I6,Female,Does not qualify,60.0,67.0,0,2,0,96,1,662,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,EYFXR,Male,Does not qualify,54.0,63.0,0,2,0,96,1,825,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,GGT4A,Male,Does not qualify,58.0,66.0,0,2,0,96,1,912,1,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,HRZOJ,Female,Does not qualify,66.0,71.0,0,2,0,96,1,990,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,IFC62,Male,Does not qualify,60.0,76.0,0,2,0,96,1,1028,1,0
